City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,91,5.01,Clouds
1,Buraydah,SA,26.326,43.975,99.27,27,90,8.81,Clouds
2,College,US,64.8569,-147.8028,57.29,94,75,3.44,Fog
3,Lompoc,US,34.6391,-120.4579,86.68,73,0,6.91,Clear
4,Busselton,AU,-33.65,115.3333,58.77,74,62,20.49,Clouds
5,Caravelas,BR,-17.7125,-39.2481,72.68,88,62,10.16,Clouds
6,Bredasdorp,ZA,-34.5322,20.0403,45.5,75,5,1.9,Clear
7,Pisco,PE,-13.7,-76.2167,64.02,82,100,8.05,Mist
8,Constitucion,CL,-35.3333,-72.4167,55.72,72,1,3.89,Clear
9,Ushuaia,AR,-54.8,-68.3,38.68,95,97,2.91,Clouds
10,Cabo San Lucas,MX,22.8909,-109.9124,92.61,58,0,10.36,Clear
11,Veraval,IN,20.9,70.3667,81.16,82,70,13.96,Clouds
12,Guerrero Negro,MX,27.9769,-114.0611,82.72,46,10,7.85,Clear
13,Meshcherino,RU,55.1957,38.36,69.62,52,79,0.36,Clouds
14,Faanui,PF,-16.4833,-151.75,77.68,75,4,26.4,Rain
15,Yeppoon,AU,-23.1333,150.7333,58.78,82,100,8.1,Clouds
16,Cape Town,ZA,-33.9258,18.4232,53.91,71,0,8.01,Clear
17,Labuhan,ID,-6.8844,112.2051,77.07,82,87,5.26,Clouds
18,Qaanaaq,GL,77.484,-69.3632,45.99,57,23,4.27,Clouds
19,Dikson,RU,73.5069,80.5464,40.66,89,99,10.4,Clouds
20,Tiksi,RU,71.6872,128.8694,44.35,82,97,14.65,Clouds
21,Calabozo,VE,8.9242,-67.4293,90.68,50,50,9.46,Clouds
22,Avarua,CK,-21.2078,-159.775,73.45,68,19,8.05,Clouds
23,Longyearbyen,SJ,78.2186,15.6401,51.64,71,0,4.61,Clear
24,Punta Arenas,CL,-53.15,-70.9167,44.71,76,75,18.41,Clouds
25,Saskylakh,RU,71.9167,114.0833,42.96,86,100,11.23,Clouds
26,Cidreira,BR,-30.1811,-50.2056,60.98,73,68,11.45,Clouds
27,Kodiak,US,57.79,-152.4072,58.51,82,100,0.0,Clouds
28,Florida,US,28.7505,-82.5001,95.83,56,75,1.01,Clouds
29,Albany,US,42.6001,-73.9662,83.68,49,67,1.95,Clouds
30,Nikolskoye,RU,59.7035,30.7861,69.69,68,79,1.68,Clouds
31,Ketchikan,US,55.3422,-131.6461,63.07,100,100,10.36,Mist
32,Geraldton,AU,-28.7667,114.6,54.01,87,40,12.66,Rain
33,Carnarvon,AU,-24.8667,113.6333,69.24,46,100,9.44,Clouds
34,Khatanga,RU,71.9667,102.5,44.31,75,99,8.3,Clouds
35,Bo Phloi,TH,14.3236,99.5161,77.95,91,100,2.24,Clouds
36,Westport,US,41.1415,-73.3579,88.47,56,0,11.5,Clear
37,Ilulissat,GL,69.2167,-51.1,53.62,62,40,6.91,Clouds
38,Indergarh,IN,26.9352,79.6724,84.69,68,100,2.86,Clouds
39,Mayo,US,38.8876,-76.5119,88.21,60,20,10.36,Clouds
40,Sao Filipe,CV,14.8961,-24.4956,76.39,79,100,7.31,Clouds
41,Alofi,NU,-19.0595,-169.9187,77.36,79,6,19.91,Clear
42,Yellowknife,CA,62.456,-114.3525,60.57,48,16,5.01,Clouds
43,New Norfolk,AU,-42.7826,147.0587,49.5,77,96,4.72,Clouds
44,Bambous Virieux,MU,-20.3428,57.7575,71.22,71,33,16.64,Clouds
45,Beringovskiy,RU,63.05,179.3167,49.89,71,89,2.44,Clouds
46,Kununurra,AU,-15.7667,128.7333,53.58,87,97,0.0,Clouds
47,Messina,IT,38.1933,15.5497,84.4,67,20,13.8,Clouds
48,Nalut,LY,30.3333,10.85,94.37,13,0,10.63,Clear
49,Bouna,CI,9.2667,-3.0,79.14,73,97,5.32,Rain
50,Thompson,CA,55.7435,-97.8558,68.16,42,75,8.05,Clouds
51,Butaritari,KI,3.0707,172.7902,81.12,76,34,15.41,Clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,56,20,8.05,Clouds
53,Sundsvall,SE,62.3913,17.3063,67.96,72,75,8.05,Clouds
54,Kungurtug,RU,50.5994,97.5228,53.38,87,74,2.51,Clouds
55,Shache,CN,38.4167,77.2406,77.81,32,83,28.23,Clouds
56,Saldanha,ZA,-33.0117,17.9442,54.28,68,1,19.89,Clear
57,Sitka,US,57.0531,-135.33,57.09,88,100,12.66,Rain
58,Mataura,NZ,-46.1927,168.8643,32.43,97,35,3.27,Clouds
59,Ponta Do Sol,PT,32.6667,-17.1,80.01,74,0,2.15,Clear
60,Tasiilaq,GL,65.6145,-37.6368,51.96,57,77,5.82,Clouds
61,Port Macquarie,AU,-31.4333,152.9167,53.89,78,100,10.4,Clouds
62,Castro,BR,-24.7911,-50.0119,69.67,41,0,6.35,Clear
63,Georgetown,MY,5.4112,100.3354,84.13,89,20,2.3,Rain
64,Hay River,CA,60.8156,-115.7999,62.58,55,4,6.91,Clear
65,Bengkulu,ID,-3.8004,102.2655,75.7,91,73,3.6,Clouds
