City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Seoul,KR,2022-07-28 20:25:30,37.5683,126.9778,80.2,84,40,3.44
1,Butaritari,KI,2022-07-28 20:25:06,3.0707,172.7902,81.93,72,41,15.32
2,Abu Samrah,SY,2022-07-28 20:29:13,35.3029,37.1841,85.96,25,0,9.28
3,Punta Arenas,CL,2022-07-28 20:25:52,-53.15,-70.9167,42.91,87,75,23.02
4,Iringa,TZ,2022-07-28 20:29:13,-7.7667,35.7,53.08,85,36,7.43
5,Katsuura,JP,2022-07-28 20:29:14,35.1333,140.3,79.38,91,64,8.99
6,Laguna,US,2022-07-28 20:29:14,38.421,-121.4238,96.15,36,0,6.91
7,Tautira,PF,2022-07-28 20:23:43,-17.7333,-149.15,77.34,77,23,24.23
8,Bluff,NZ,2022-07-28 20:29:15,-46.6,168.3333,47.8,75,100,11.74
9,Hobart,AU,2022-07-28 20:22:25,-42.8794,147.3294,42.66,82,40,11.5
10,Launceston,AU,2022-07-28 20:28:26,-41.45,147.1667,37.35,84,3,4.61
11,Aransas Pass,US,2022-07-28 20:29:16,27.9095,-97.15,96.89,67,40,19.57
12,New Norfolk,AU,2022-07-28 20:21:09,-42.7826,147.0587,42.3,83,7,4.23
13,Nikolskoye,RU,2022-07-28 20:21:05,59.7035,30.7861,61.79,78,100,3.74
14,Mogadishu,SO,2022-07-28 20:27:55,2.0371,45.3438,76.1,83,34,17.92
15,Te Anau,NZ,2022-07-28 20:25:07,-45.4167,167.7167,40.53,90,93,1.7
16,Okha,RU,2022-07-28 20:29:17,53.5739,142.9478,55.29,92,59,7.43
17,Margate,GB,2022-07-28 20:29:18,51.3813,1.3862,64.31,72,100,5.01
18,Khatanga,RU,2022-07-28 20:26:23,71.9667,102.5,59.31,69,53,5.06
19,Whitehorse,CA,2022-07-28 20:26:15,60.7161,-135.0538,57.97,62,75,5.75
20,Lompoc,US,2022-07-28 20:26:27,34.6391,-120.4579,90.01,71,0,17.27
21,Ushuaia,AR,2022-07-28 20:20:59,-54.8,-68.3,46.02,65,75,21.85
22,Port Lincoln,AU,2022-07-28 20:22:21,-34.7333,135.8667,52.68,84,98,13.22
23,Almeirim,BR,2022-07-28 20:29:19,-1.5233,-52.5817,89.22,48,37,4.0
24,Bolobo,CD,2022-07-28 20:29:20,-2.1667,16.2333,79.41,44,82,2.15
25,Port Alfred,ZA,2022-07-28 20:22:27,-33.5906,26.891,68.23,60,1,14.07
26,Iqaluit,CA,2022-07-28 20:26:33,63.7506,-68.5145,55.13,62,75,5.75
27,Cape Town,ZA,2022-07-28 20:23:30,-33.9258,18.4232,60.89,81,75,14.97
28,Vaini,TO,2022-07-28 20:21:06,-21.2,-175.2,77.16,88,40,6.91
29,Butterworth,MY,2022-07-28 20:29:21,5.3991,100.3638,80.64,90,20,3.44
30,Leningradskiy,RU,2022-07-28 20:29:21,69.3833,178.4167,39.69,79,95,6.22
31,Huilong,CN,2022-07-28 20:27:41,31.8111,121.655,82.92,89,0,13.35
32,Beloha,MG,2022-07-28 20:29:22,-25.1667,45.05,63.59,84,4,11.52
33,Palana,RU,2022-07-28 20:29:23,59.1167,159.9667,48.2,73,89,2.37
34,Castro,BR,2022-07-28 20:20:53,-24.7911,-50.0119,68.83,54,100,8.08
35,Bredasdorp,ZA,2022-07-28 20:23:38,-34.5322,20.0403,52.81,74,0,6.33
36,Pangnirtung,CA,2022-07-28 20:16:26,66.1451,-65.7125,48.2,100,100,14.97
37,Halifax,CA,2022-07-28 20:27:56,44.6453,-63.5724,82.29,50,20,16.11
38,Bambanglipuro,ID,2022-07-28 20:29:24,-7.95,110.2833,72.57,91,73,1.97
39,Bilibino,RU,2022-07-28 20:29:25,68.0546,166.4372,50.99,54,11,4.23
40,Coquimbo,CL,2022-07-28 20:30:25,-29.9533,-71.3436,58.73,77,0,10.36
41,Kaitangata,NZ,2022-07-28 20:22:17,-46.2817,169.8464,41.77,92,100,8.77
42,Kerrobert,CA,2022-07-28 20:30:26,51.9168,-109.1348,84.25,32,0,6.38
43,Rikitea,PF,2022-07-28 20:21:35,-23.1203,-134.9692,73.45,73,91,21.36
44,Longyearbyen,SJ,2022-07-28 20:30:27,78.2186,15.6401,42.64,81,75,19.57
45,Sabirabad,AZ,2022-07-28 20:30:27,40.0095,48.4752,78.01,57,0,14.7
46,College,US,2022-07-28 20:30:28,64.8569,-147.8028,62.08,63,40,4.61
47,Busselton,AU,2022-07-28 20:22:11,-33.65,115.3333,59.81,83,100,18.52
48,Luderitz,NA,2022-07-28 20:23:41,-26.6481,15.1594,54.52,86,60,2.68
49,Escanaba,US,2022-07-28 20:26:52,45.7453,-87.0646,73.36,55,100,12.66
50,Muromtsevo,RU,2022-07-28 20:30:29,56.3724,75.2418,59.86,82,79,10.13
51,Grindavik,IS,2022-07-28 20:23:45,63.8424,-22.4338,48.67,81,75,6.91
52,Bengkulu,ID,2022-07-28 20:30:30,-3.8004,102.2655,75.22,90,91,5.5
53,Airai,TL,2022-07-28 20:21:39,-8.9266,125.4092,51.17,80,76,3.85
54,Thompson,CA,2022-07-28 20:30:30,55.7435,-97.8558,75.36,38,20,8.05
55,Shuyskoye,RU,2022-07-28 20:30:31,59.3736,41.0305,63.5,98,82,2.91
56,Port Blair,IN,2022-07-28 20:28:35,11.6667,92.75,82.44,83,40,3.44
57,Pevek,RU,2022-07-28 20:27:36,69.7008,170.3133,39.61,78,94,2.46
58,Lagoa,PT,2022-07-28 20:21:03,39.05,-27.9833,72.34,74,3,4.18
59,Vanimo,PG,2022-07-28 20:24:55,-2.6741,141.3028,76.21,91,38,5.3
60,Caravelas,BR,2022-07-28 20:30:32,-17.7125,-39.2481,69.78,79,0,6.26
61,Borogontsy,RU,2022-07-28 20:30:33,62.6683,131.1683,72.59,63,6,2.73
62,Kalaleh,IR,2022-07-28 20:30:33,37.3807,55.4916,75.56,88,100,4.45
63,Korla,CN,2022-07-28 20:30:34,41.7597,86.1469,90.07,19,99,15.3
64,Hermanus,ZA,2022-07-28 20:22:20,-34.4187,19.2345,57.63,74,0,13.47
65,Port Elizabeth,ZA,2022-07-28 20:21:31,-33.918,25.5701,57.49,94,0,4.61
66,Chuy,UY,2022-07-28 20:24:52,-33.6971,-53.4616,50.32,89,100,14.76
67,Homer,US,2022-07-28 20:30:36,59.6425,-151.5483,67.77,51,0,3.44
68,Touros,BR,2022-07-28 20:30:36,-5.1989,-35.4608,76.69,80,4,14.2
69,Kodiak,US,2022-07-28 20:21:08,57.79,-152.4072,63.91,55,0,6.91
70,Namibe,AO,2022-07-28 20:30:37,-15.1961,12.1522,61.36,84,22,7.92
71,Los Llanos De Aridane,ES,2022-07-28 20:23:39,28.6585,-17.9182,71.35,89,20,20.71
